id,createdAt,updatedAt,amount,currency,categoryId,description,isExpense,userId
1,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,50,USD,1,Lunch at a restaurant,true,1
2,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,1,Groceries,true,1
3,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,2,Taxi ride,true,1
4,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,3,Movie tickets,true,2
5,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,3,Concert tickets,true,2
6,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Clothing,true,2
7,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,5,Electricity bill,true,3
8,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,35,USD,5,Water bill,true,3
9,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,EUR,2,Taxi ride,true,1
10,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,55,USD,1,Dinner at a restaurant,true,1
11,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,3,Public transportation tickets,true,2
12,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,4,Books,true,2
13,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,5,Internet bill,true,3
14,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,45,USD,2,Taxi ride,true,1
15,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,EUR,1,Groceries,true,1
16,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,USD,3,Movie tickets,true,2
17,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,4,Concert tickets,true,2
18,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,5,Clothing,true,2
19,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,2,Books,true,2
20,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,1,Lunch at a restaurant,true,1
21,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,2,Groceries,true,1
22,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,EUR,3,Taxi ride,true,1
23,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,45,USD,4,Movie tickets,true,2
24,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,5,Concert tickets,true,2
25,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,1,Clothing,true,2
26,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,2,Books,true,2
27,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,3,Lunch at a restaurant,true,1
28,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,1,Groceries,true,1
29,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,2,Taxi ride,true,1
30,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,3,Movie tickets,true,2
31,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Concert tickets,true,2
32,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,5,Clothing,true,2
33,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,2,Books,true,2
34,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,50,EUR,1,Lunch at a restaurant,true,1
35,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,1,Groceries,true,1
36,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,2,Taxi ride,true,1
37,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,3,Movie tickets,true,2
